title,Production_Budget,id,runtime,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,tagline_wordcount,synopsis_wordcount,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3,target
The Frozen Ground,19200000,199373,105.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Picture Perfect Corporation,Grindstone Entertainment Group,Emmett/Furla Films,5,28,7,11,Nicolas Cage,Vanessa Hudgens,John Cusack,Radha Mitchell,Jodi Lyn O'Keefe,,Lorne Balfe,Scott Walker,Mark Ordesky,,gun,escape,serial killer,0
The Devil's Double,19100000,62630,109.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Corrino Media Corporation,Corsan,Staccato Films,9,29,2,11,Dominic Cooper,Ludivine Sagnier,Raad Rawi,Mehmet Ferda,Philip Quast,John Hubbard,Christian Henson,Lee Tamahori,Paul Breuls,Michael Thomas,palace,impostor,pervertion,0
Bad Teacher,19000000,52449,92.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Columbia Pictures,Mosaic Media Group,,5,34,5,16,Cameron Diaz,Jason Segel,Justin Timberlake,Lucy Punch,Phyllis Smith,Anya Colloff,Michael Andrews,Jake Kasdan,David B. Householter,Gene Stupnitsky,classroom,teacher,school,1
Sausage Party,19000000,223702,89.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Columbia Pictures,Annapurna Pictures,Point Grey Pictures,3,41,7,11,Seth Rogen,Kristen Wiig,Jonah Hill,Bill Hader,Michael Cera,Francine Maisler,Alan Menken,Conrad Vernon,Conrad Vernon,Seth Rogen,supermarket,party,sausage,1
Just Married,19000000,12090,95.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,Robert Simonds Productions,20th Century Fox,6,68,1,9,Ashton Kutcher,Brittany Murphy,Christian Kane,David Moscow,Alex Thomas,Georgianne Walken,Christophe Beck,Shawn Levy,Robert Simonds,Sam Harper,venice,france,prison,1
I Can Do Bad All By Myself,19000000,26367,113.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lions Gate Films,,,1,56,9,11,Tyler Perry,Taraji P. Henson,Adam Rodríguez,Mary J. Blige,Gladys Knight,,,Tyler Perry,Reuben Cannon,,aunt,duringcreditsstinger,,1
A Cinderella Story,19000000,11247,95.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dylan Sellers Productions,Gaylord Films,Clifford Werber Productions,8,101,7,10,Hilary Duff,Jennifer Coolidge,Chad Michael Murray,Dan Byrd,Regina King,Sarah Finn,Christophe Beck,Mark Rosman,Hunt Lowry,Leigh Dunlap,jealousy,cinderella,work,1
The Switch,19000000,41210,101.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Mandate Pictures,Bona Fide Productions,Echo Films,6,39,5,11,Jason Bateman,Jennifer Aniston,Jeff Goldblum,Juliette Lewis,Todd Louiso,Douglas Aibel,,Josh Gordon,Albert Berger,Allan Loeb,alcohol,single parent,baby,1
Leap Year,19000000,25195,100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Birnbaum / Barber Productions,Universal Pictures,Spyglass Entertainment,15,82,1,8,Amy Adams,Matthew Goode,Adam Scott,John Lithgow,Flaminia Cinque,,,Anand Tucker,,,taxi,bar,wales,1
The Book Thief,19000000,203833,131.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Studio Babelsberg,Fox 2000 Pictures,Sunswept Entertainment,3,36,11,8,Geoffrey Rush,Sophie Nélisse,Emily Watson,Nico Liersch,Ben Schnetzer,Simone Bär,John Williams,Brian Percival,Karen Rosenfelt,,world war ii,book,nazi germany,1
Sex Drive,19000000,13523,109.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Goldcrest Pictures,Summit Entertainment,Alloy Entertainment,4,19,10,16,Josh Zuckerman,Amanda Crew,Clark Duke,James Marsden,Seth Green,Lisa Beach,Stephen Trask,Sean Anders,Leslie Morgenstein,Sean Anders,sex,jealousy,virgin,0
Take Me Home Tonight,19000000,50725,97.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Rogue Pictures,Imagine Entertainment,Relativity Media,3,75,3,4,Topher Grace,Anna Faris,Dan Fogler,Teresa Palmer,Michelle Trachtenberg,Joanna Colbert,Trevor Horn,Michael Dowse,Sarah Bowen,Jackie Filgo,becoming an adult,lie,night,0
Won't Back Down,19000000,82631,121.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lemodeln Model & Talent Agency,Gran Via Productions,Walden Media,8,77,9,28,Viola Davis,Maggie Gyllenhaal,Ving Rhames,Lance Reddick,Rosie Perez,Laura Rosenthal,Marcelo Zarvos,Daniel Barnz,Mark Johnson,Daniel Barnz,based on true story,,,0
The Amityville Horror,18500000,10065,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Platinum Dunes,Dimension Films,Metro-Goldwyn-Mayer,11,20,4,14,Ryan Reynolds,Melissa George,Jesse James,Chloë Grace Moretz,Jimmy Bennett,Lisa Fields,Steve Jablonsky,Andrew Douglas,Michael Bay,,holy water,long island,remake,1
The Invention of Lying,18500000,23082,100.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Wintergreen Productions,Media Rights Capital,1821 Pictures,14,26,9,13,Ricky Gervais,Jennifer Garner,Jonah Hill,Louis C.K.,Jeffrey Tambor,Francine Maisler,Tim Atack,Ricky Gervais,Lynda Obst,,,,,1
Legally Blonde,18000000,8835,96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marc Platt Productions,Metro-Goldwyn-Mayer,,8,61,7,13,Reese Witherspoon,Luke Wilson,Selma Blair,Matthew Davis,Victor Garber,Joseph Middleton,Rolfe Kent,Robert Luketic,Marc Platt,Karen McCullah Lutz,harvard law school,black female judge,smart blonde,1
Mean Girls,18000000,10625,97.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Broadway Video,Paramount,M.G. Films,4,33,4,30,Lindsay Lohan,Rachel McAdams,Lacey Chabert,Amanda Seyfried,Lizzy Caplan,Marci Liroff,Rolfe Kent,Mark Waters,Lorne Michaels,Tina Fey,female friendship,high school,fish out of water,1
The Exorcism of Emily Rose,18000000,8643,122.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Lakeshore Entertainment,Firm Films,Screen Gems,4,63,9,9,Laura Linney,Tom Wilkinson,Campbell Scott,Jennifer Carpenter,Kenneth Welsh,Nancy Nayor,Christopher Young,Scott Derrickson,Paul Harris Boardman,Paul Harris Boardman,epilepsy,possession,teenage girl,1
The Family Stone,18000000,9043,103.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Fox 2000 Pictures,The Family Stone,Major Studio Partners,3,31,12,14,Sarah Jessica Parker,Dermot Mulroney,Claire Danes,Diane Keaton,Rachel McAdams,,,Thomas Bezucha,Michael London,Thomas Bezucha,holiday,christmas,,1
Bad Santa,18000000,10147,92.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dimension Films,Columbia Pictures,Triptych Pictures,8,39,11,26,Billy Bob Thornton,Tony Cox,Brett Kelly,Bernie Mac,John Ritter,Mary Vernieu,David Kitay,Terry Zwigoff,Bob Weinstein,Glenn Ficarra,holiday,elves,christmas party,1
My Big Fat Greek Wedding 2,18000000,302688,94.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Universal Pictures,Gold Circle Films,HBO Films,4,18,3,23,Nia Vardalos,John Corbett,Lainie Kazan,Michael Constantine,Elena Kampouris,,,Kirk Jones,Tom Hanks,,comedy,wedding,,1
The Perfect Guy,18000000,304372,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Screen Gems,,,5,22,9,11,Michael Ealy,Sanaa Lathan,Morris Chestnut,Kathryn Morris,Rutina Wesley,Venus Kanani,Atli Örvarsson,David M. Rosenthal,Tommy Oliver,Tyger Williams,,,,1
Diary of a Wimpy Kid: Rodrick Rules,18000000,60307,99.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Color Force,Dune Entertainment,,5,25,3,25,Zachary Gordon,Devon Bostick,Rachael Harris,Robert Capron,Steve Zahn,,Ed Shearmur,David Bowers,Brad Simpson,Gabe Sachs,based on novel,middle school,,1
Prom Night,18000000,8617,88.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Alliance Films,,,5,28,4,10,Brittany Snow,Scott Porter,Jessica Stroup,Dana Davis,Kelly Blatz,David Rapaport,Paul Haslinger,Nelson McCormick,Neal H. Moritz,J.S. Cardone,aunt,remake,blood on shirt,1
Soul Surfer,18000000,43959,112.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,FilmDistrict,Brookwell-McNamara Entertainment,Affirm Films,18,33,4,8,AnnaSophia Robb,Helen Hunt,Lorraine Nicholson,Carrie Underwood,Dennis Quaid,,,Sean McNamara,David Brookwell,Sean McNamara,competition,based on novel,shark attack,1
Under the Tuscan Sun,18000000,10934,113.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Tatiale Films,Touchstone Pictures,Timnick Films,15,64,9,20,Diane Lane,Sandra Oh,Lindsay Duncan,Raoul Bova,Vincent Riotta,Linda Lowy,Christophe Beck,Audrey Wells,Tom Sternberg,Audrey Wells,depression,toscana,recreation,1
Gosford Park,18000000,5279,131.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,USA Films,Sandcastle 5 Productions,Chicagofilms,9,35,11,7,Helen Mirren,Clive Owen,Maggie Smith,Ryan Phillippe,Stephen Fry,Mary Selway,Patrick Doyle,Robert Altman,Robert Altman,Julian Fellowes,servant,money,shooting party,1
Orange County,18000000,11857,82.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MTV Films,Paramount,,10,52,1,10,Colin Hanks,Jack Black,Schuyler Fisk,Bret Harrison,Kyle Howard,,Michael Andrews,Jake Kasdan,Scott Rudin,Mike White,surfer,province,death of a friend,1
Blue Jasmine,18000000,160588,98.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Gravier Productions,Perdido Productions,,13,88,7,25,Cate Blanchett,Alec Baldwin,Sally Hawkins,Bobby Cannavale,Louis C.K.,Juliet Taylor,,Woody Allen,Letty Aronson,,san francisco,sister sister relationship,new york city,1
United 93,18000000,9829,111.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Sidney Kimmel Entertainment,Working Title Films,Universal Pictures,20,29,4,28,J.J. Johnson,Polly Adams,Trish Gates,Nancy McDoniel,Opal Alladin,John Hubbard,John Powell,Paul Greengrass,Lloyd Levin,Paul Greengrass,airplane,hijacking,terror cell,1
Honey,18000000,10028,94.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,NuAmerica Entertainment,Universal Pictures,Marc Platt Productions,4,82,11,24,Jessica Alba,Mekhi Phifer,Joy Bryant,Romeo Miller,David Moscow,Michelle Morris,Mervyn Warren,Bille Woodruff,Marc Platt,Alonzo Brown,new york,dancing,hip-hop,1
Ricki and the Flash,18000000,275601,100.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,LStar Capital,Columbia TriStar,Clinica Estetico,4,46,7,10,Meryl Streep,Kevin Kline,Mamie Gummer,Sebastian Stan,Audra McDonald,,,Jonathan Demme,Marc Platt,,homophobia,rock star,aging,1
Love the Coopers,18000000,333348,107.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Imagine Entertainment,Groundswell Productions,CBS Films,6,44,11,12,Steve Martin,Diane Keaton,John Goodman,Alan Arkin,Ed Helms,,Nick Urata,Jessie Nelson,,Steven Rogers,big family,family relationships,family,1
Observe and Report,18000000,16991,87.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Legendary Entertainment,De Line Pictures,,7,41,4,10,Seth Rogen,Ray Liotta,Anna Faris,Michael Peña,Dan Bakkedahl,,,Jody Hill,,,robbery,unrequited love,security guard,1
Love Happens,18000000,25643,109.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Stuber Productions,Camp / Thompson Pictures,Universal Pictures,6,61,9,18,Aaron Eckhart,Jennifer Aniston,Judy Greer,Martin Sheen,Deirdre Blades,Deborah Aquila,Christopher Young,Brandon Camp,Scott Stuber,,hotel,florist,forest,1
127 Hours,18000000,44115,94.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Fox Searchlight Pictures,Pathé!,Everest Entertainment,11,30,11,5,James Franco,Kate Mara,Amber Tamblyn,Clémence Poésy,Lizzy Caplan,Donna Isaacson,A. R. Rahman,Danny Boyle,Danny Boyle,Danny Boyle,mountain,despair,adventure,1
Norm of the North,18000000,276905,86.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lionsgate,Splash Entertainment,Telegael,4,54,1,14,Rob Schneider,Ken Jeong,Loretta Devine,Heather Graham,Bill Nighy,,,Trevor Wall,,,new york,polar bear,new york city,1
Norm of the North,18000000,276905,86.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lionsgate,Splash Entertainment,Telegael,4,54,1,14,Rob Schneider,Ken Jeong,Loretta Devine,Heather Graham,Bill Nighy,,,Trevor Wall,,,new york,polar bear,new york city,1
Catch That Kid,18000000,20483,92.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fox 2000 Pictures,Mad Chance,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,6,76,2,6,Kristen Stewart,Corbin Bleu,Max Thieriot,Jennifer Beals,Sam Robards,,,Bart Freundlich,Andrew Lazar,Michael Brandt,bank robbery,,,0
Jobs,18000000,115782,128.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Open Road Films,Dillywood,Five Star Institute,8,21,8,16,Ashton Kutcher,Dermot Mulroney,Amanda Crew,James Woods,Josh Gad,,John Debney,Joshua Michael Stern,Mark Hulme,,biography,computer,based on true story,1
Life as a House,18000000,11457,125.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,New Line Cinema,,,6,31,10,25,Kevin Kline,Kristin Scott Thomas,Hayden Christensen,Jena Malone,Mary Steenburgen,,Mark Isham,Irwin Winkler,Rob Cowan,Mark Andrus,father son relationship,house,cancer,1
Youth in Revolt,18000000,22327,87.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Dimension Films,,,5,73,9,11,Michael Cera,Portia Doubleday,Jean Smart,Zach Galifianakis,Erik Knudsen,,,Miguel Arteta,David Permut,Gustin Nash,based on novel,coming of age,duringcreditsstinger,1
And So It Goes,18000000,253235,94.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Castle Rock Entertainment,ASIG Productions,Envision Entertainment,1,32,7,20,Michael Douglas,Diane Keaton,Sterling Jerins,Paloma Guzmán,Frances Sternhagen,Laura Rosenthal,Marc Shaiman,Rob Reiner,Mark Damon,Mark Andrus,grandfather granddaughter relationship,neighbor,wealthy,0
"I Love You, Beth Cooper",18000000,19840,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fox Atomic,1492 Pictures,Bece Canada Productions,7,23,7,10,Hayden Panettiere,Paul Rust,Lauren London,Lauren Storm,Jack Carpenter,,Christophe Beck,Chris Columbus,Chris Columbus,Larry Doyle,virgin,cheerleader,graduation,0
The Tailor of Panama,18000000,2575,109.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Merlin Films,Columbia Pictures,,16,71,2,11,Pierce Brosnan,Geoffrey Rush,Jamie Lee Curtis,Leonor Varela,Brendan Gleeson,Jina Jay,,John Boorman,John Boorman,Andrew Davies,dancing,spy,birthday,1
Labor Day,18000000,130150,111.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Right of Way Films,Mr. Mudd Production,Indian Paintbrush,1,38,12,27,Josh Brolin,Kate Winslet,Gattlin Griffith,Tobey Maguire,Tom Lipinski,Suzanne Smith,,Jason Reitman,Jason Reitman,Jason Reitman,escaped convict,depressed mom,,0
Getaway,18000000,146227,90.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saints LA,Dark Castle Entertainment,After Dark Films,5,53,8,29,Ethan Hawke,Selena Gomez,Jon Voight,Paul Freeman,Bruce Payne,Mariana Stanisheva,Justin Caine Burnett,Courtney Solomon,Joel Silver,,,,,0
Being Julia,18000000,18701,104.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Serendipity Point Films,,,10,114,9,3,Michael Gambon,Annette Bening,Leigh Lawson,Shaun Evans,Jeremy Irons,,,István Szabó,Robert Lantos,Ronald Harwood,,,,0
The Last Station,18000000,36811,112.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Zephyr Films,Egoli Tossell Film,,4,67,9,4,Helen Mirren,Christopher Plummer,James McAvoy,Anne-Marie Duff,Paul Giamatti,,,Michael Hoffman,Bonnie Arnold,Michael Hoffman,duringcreditsstinger,,,0
Mao's Last Dancer,18000000,33870,117.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Great Scott Productions Pty. Ltd.,,,1,70,10,1,Chi Cao,Chengwu Guo,Wen Bin Huang,Joan Chen,Bruce Greenwood,,,Bruce Beresford,Jane Scott,Jan Sardi,costume,song,village,1
The Railway Man,18000000,127560,116.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Archer Street Productions,Lionsgate,Pictures in Paradise,6,20,12,2,Jeremy Irvine,Colin Firth,Stellan Skarsgård,Michael MacKenzie,Nicole Kidman,Nikki Barrett,David Hirschfelder,Jonathan Teplitzky,Bill Curbishley,Andy Paterson,post traumatic stress  disorder,japanese,world war ii,1
Midnight Special,18000000,245703,112.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Faliro House Productions,Tri-State Pictures,Warner Bros. Pictures,4,17,2,18,Michael Shannon,Jaeden Martell,Joel Edgerton,Kirsten Dunst,Adam Driver,Francine Maisler,,Jeff Nichols,Sarah Green,Jeff Nichols,father son relationship,helicopter,fbi,0
Anything Else,18000000,10739,108.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Granada Film Productions,Perdido Prod.,DreamWorks Pictures,10,49,8,27,Jason Biggs,Christina Ricci,Woody Allen,Stockard Channing,Danny DeVito,Juliet Taylor,,Woody Allen,Letty Aronson,Woody Allen,psychoanalysis,comedian,relationship problems,0
Phantom,18000000,152259,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Trilogy Entertainment Group,RCR Media Group,Solar Filmworks,6,33,1,3,Ed Harris,David Duchovny,Lance Henriksen,William Fichtner,Johnathon Schaech,Iris Hampton,,Todd Robinson,Julian Adams,,submarine,cold war,soviet,0
The Salton Sea,18000000,11468,103.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Humble Journey Films,Castle Rock Entertainment,Darkwoods Productions,12,59,1,1,Val Kilmer,Vincent D'Onofrio,Adam Goldberg,Luis Guzmán,Doug Hutchison,Deborah Aquila,Thomas Newman,D.J. Caruso,Butch Robinson,Tony Gayton,dual identity,identity,war on drugs,0
The Informers,18000000,17436,98.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Senator Entertainment Co,,,9,39,11,5,Billy Bob Thornton,Amber Heard,Kim Basinger,Mickey Rourke,Winona Ryder,,,Gregor Jordan,Bret Easton Ellis,Bret Easton Ellis,sex,slice of life,hollywood,0
Carlos,18000000,43434,338.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Films en Stock,Egoli Tossell Film,Canal+,6,28,5,19,Edgar Ramírez,Alexander Scheer,Fadi Abi Samra,Nora von Waldstätten,Talal Jurdi,,,Olivier Assayas,Jens Meurer,Dan Franck,gun,car bomb,miniseries,0
I Am Wrath,18000000,332411,92.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hannibal Classics,Patriot Pictures,Vallelonga Productions,6,20,4,14,John Travolta,Christopher Meloni,Rebecca De Mornay,Amanda Schull,Patrick St. Esprit,Donald Paul Pemrick,Haim Mazar,Chuck Russell,Michael Mendelsohn,,revenge,murder,police corruption,0
Red Lights,17700000,25500,105.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Alicéléo,Gimages,France 3 Cinéma,1,13,3,3,Jean-Pierre Darroussin,Carole Bouquet,Vincent Deniard,Alain Dion,,,,Cédric Kahn,Patrick Godeau,,,,,0
Superbad,17500000,8363,113.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Columbia Pictures,Apatow Productions,Sony Pictures,4,22,8,17,Jonah Hill,Michael Cera,Christopher Mintz-Plasse,Bill Hader,Seth Rogen,Allison Jones,Lyle Workman,Greg Mottola,Judd Apatow,,becoming an adult,high school,young people,1
Hotel Rwanda,17500000,205,121.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,Sixth Sense Productions,United Artists,Lions Gate Films,10,52,9,11,Don Cheadle,Sophie Okonedo,Nick Nolte,Fana Mokoena,Joaquin Phoenix,Moonyeenn Lee,Rupert Gregson-Williams,Terry George,Nicholas Meyer,Terry George,rwanda,refugee,refugee camp,1
Beerfest,17500000,9988,110.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Broken Lizard Industries,,,7,59,8,25,Erik Stolhanske,Jay Chandrasekhar,Steve Lemme,Paul Soter,M.C. Gainey,Mary Vernieu,Nathan Barr,Jay Chandrasekhar,Bill Gerber,,germany,competition,prostitute,1
Black Nativity,17500000,175541,93.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Malvern Pictures,Fox Searchlight Pictures,,7,36,11,27,Forest Whitaker,Angela Bassett,Jennifer Hudson,Tyrese Gibson,Jacob Latimore,,Laura Karpman,Kasi Lemmons,T.D. Jakes,Kasi Lemmons,musical,based on play or musical,woman director,0
City of Ghosts,17500000,31932,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,1,31,1,1,Matt Dillon,James Caan,Natascha McElhone,Gérard Depardieu,Stellan Skarsgård,,Tyler Bates,Matt Dillon,,Matt Dillon,,,,0
The Others,17000000,1933,101.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,Cruise/Wagner Productions,Canal+,Sogecine,11,54,8,2,Nicole Kidman,Christopher Eccleston,Alakina Mann,James Bentley,Eric Sykes,Jina Jay,Alejandro Amenábar,Alejandro Amenábar,Fernando Bovaira,,nanny,haunted house,channel islands,1
Sideways,17000000,9675,127.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Fox Searchlight Pictures,Michael London Productions,Sideways Productions Inc.,12,32,10,22,Paul Giamatti,Thomas Haden Church,Virginia Madsen,Sandra Oh,Marylouise Burke,John Jackson,Rolfe Kent,Alexander Payne,Michael London,Alexander Payne,california,golf,oscar award,1
The Best Man Holiday,17000000,146304,123.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Universal Pictures,,,4,26,11,15,Terrence Howard,Harold Perrineau,Morris Chestnut,Sanaa Lathan,Taye Diggs,,,Malcolm D. Lee,Sean Daniel,,best man,,,1
Pitch Perfect,17000000,114150,112.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Brownstone Productions,,,3,88,9,28,Anna Kendrick,Skylar Astin,Brittany Snow,Anna Camp,Rebel Wilson,Kerry Barden,Mark Kilian,Jason Moore,Elizabeth Banks,Kay Cannon,competition,roommate,college,1
Evil Dead,17000000,109428,91.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TriStar Pictures,FilmDistrict,Ghost House Pictures,8,36,4,5,Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,Jessica Lucas,Elizabeth Blackmore,Sari Knight,Roque Baños,Fede Alvarez,Sam Raimi,Rodo Sayagues,remake,demon,necronomicon,1
Saw 3D,17000000,41439,90.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lionsgate,Twisted Pictures,Serendipity Productions,4,39,10,21,Tobin Bell,Costas Mandylor,Betsy Russell,Cary Elwes,Sean Patrick Flanery,,Charlie Clouser,Kevin Greutert,Mark Burg,Patrick Melton,survivor,violence,self help guru,1
"McFarland, USA",17000000,228203,128.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mayhem Pictures,Walt Disney Pictures,,5,16,2,20,Kevin Costner,Ramiro Rodriguez,Carlos Pratts,Johnny Ortiz,Rafael Martinez,,Antonio Pinto,Niki Caro,Mark Ciardi,Grant Thompson,california,small town,coach,1
Almost Christmas,17000000,340402,111.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Will Packer Productions,Universal Pictures,,5,13,11,11,Kimberly Elise,Omar Epps,Danny Glover,John Michael Higgins,Romany Malco,,,David E. Talbert,Gabrielle Union,,thanksgiving,family,death,1
The Hills Have Eyes,17000000,9792,107.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Dune Entertainment,Major Studio Partners,Craven-Maddalena Films,5,60,3,10,Aaron Stanford,Kathleen Quinlan,Vinessa Shaw,Emilie de Ravin,Dan Byrd,Mark Bennett,tomandandy,Alexandre Aja,Wes Craven,Grégory Levasseur,ambush,rape,gas station,1
Crawl,17000000,91926,80.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Epic Pictures Group,,,1,36,10,15,Lauren Dillon,George Shevtsov,Paul Holmes,Georgina Haig,Bob Newman,,Christopher Gordon,Paul China,Brian J. Breheny,,waitress,murder,,1
40 Days and 40 Nights,17000000,2752,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Miramax,Universal Pictures,Working Title Films,4,74,3,1,Josh Hartnett,Shannyn Sossamon,Adam Trese,Emmanuelle Vaugier,Barry Newman,,Rolfe Kent,Michael Lehmann,Tim Bevan,,sex addiction,laundromat,,1
Good Boy!,17000000,21765,87.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Jim Henson Pictures,Metro-Goldwyn-Mayer,,6,24,10,10,Molly Shannon,Liam Aiken,Matthew Broderick,Donald Faison,Cheech Marin,Deborah Aquila,,John Robert Hoffman,Lisa Henson,,,,,1
Smokin' Aces,17000000,7516,109.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Universal Pictures,Working Title Films,StudioCanal,4,35,12,9,Ryan Reynolds,Ray Liotta,Joseph Ruskin,Alex Rocco,Wayne Newton,Amanda Mackey,Clint Mansell,Joe Carnahan,Tim Bevan,,neo-nazi,gun,sniper,1
