title,Production_Budget,id,runtime,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,tagline_wordcount,synopsis_wordcount,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3,target
Into the Blue,50000000,11968,110.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Mandalay Pictures,Metro-Goldwyn-Mayer,Columbia Pictures,4,55,9,30,Paul Walker,Jessica Alba,Scott Caan,Ashley Scott,Josh Brolin,Sarah Finn,Paul Haslinger,John Stockwell,David Zelon,Matt Johnson,diving,cocaine,shipwreck,0
Eastern Promises,50000000,2252,100.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Focus Features,BBC Films,Astral Media,5,32,9,14,Naomi Watts,Viggo Mortensen,Vincent Cassel,Armin Mueller-Stahl,Sinéad Cusack,Deirdre Bowen,Howard Shore,David Cronenberg,Robert Lantos,Steven Knight,london england,gay,male nudity,1
Drive Angry,50000000,47327,105.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Summit Entertainment,Saturn Films,Nu Image,5,70,2,24,Nicolas Cage,Amber Heard,William Fichtner,Billy Burke,David Morse,Nancy Nayor,,Patrick Lussier,Michael De Luca,,bone,car explosion,premarital sex,0
Domino,50000000,9923,127.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Domino 17521,New Line Cinema,Davis-Films,6,21,10,14,Keira Knightley,Mickey Rourke,Edgar Ramírez,Delroy Lindo,Mo'Nique,Denise Chamian,Harry Gregson-Williams,Tony Scott,Tony Scott,,bounty hunter,fbi,weapon,0
Street Fighter: The Legend of Chun-Li,50000000,15268,97.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hyde Park Films,20th Century Fox,CAPCOM,8,37,2,27,Kristin Kreuk,Chris Klein,Neal McDonough,Michael Clarke Duncan,Moon Bloodgood,,Stephen Endelman,Andrzej Bartkowiak,,Justin Marks,martial arts,revenge,street fighter,0
Death to Smoochy,50000000,9275,109.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mad Chance,Film4 Productions,Senator Film,6,71,3,28,Robin Williams,Catherine Keener,Edward Norton,Danny DeVito,Jon Stewart,Margery Simkin,David Newman,Danny DeVito,Peter Macgregor-Scott,Adam Resnick,corruption,moderator,tv show,0
The Boat That Rocked,50000000,18947,135.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Universal Pictures,Working Title Films,Medienproduktion Prometheus Filmgesellschaft,7,96,4,1,Tom Sturridge,Philip Seymour Hoffman,Rhys Ifans,Bill Nighy,Emma Thompson,Fiona Weir,,Richard Curtis,Tim Bevan,,great britain,musical,rock,0
The Big Bounce,50000000,12634,88.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shangri-La Entertainment,Material,Taormina Productions,6,20,1,30,Owen Wilson,Morgan Freeman,Gary Sinise,Sara Foster,Willie Nelson,,George S. Clinton,George Armitage,Jorge Saralegui,Sebastián Gutiérrez,hotel,robbery,based on novel,0
Child 44,50000000,181283,137.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Summit Entertainment,Scott Free Productions,Worldview Entertainment,9,32,3,15,Tom Hardy,Gary Oldman,Noomi Rapace,Fares Fares,Joel Kinnaman,Nina Gold,Jon Ekstrand,Daniel Espinosa,Ridley Scott,Richard Price,based on novel,soviet union,russian,0
Outlander,50000000,10529,115.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Ascendant Pictures,Rising Star,VIP Medienfonds 4,10,37,4,24,Jim Caviezel,Sophia Myles,Jack Huston,Ron Perlman,John Hurt,Deirdre Bowen,,Howard McCain,Christopher Roberts,,norway,monster,flying saucer,0
Shanghai,50000000,38407,105.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Living Films,Phoenix Pictures,TWC Asian Film Fund,1,45,6,10,John Cusack,Gong Li,Chow Yun-Fat,Jeffrey Dean Morgan,Ken Watanabe,Avy Kaufman,,Mikael Håfström,Barry Mendel,,suspense,,,0
The One,49000000,10796,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Revolution Studios,Hard Eight Pictures,Columbia Pictures,9,19,11,2,Jet Li,Jason Statham,Carla Gugino,Delroy Lindo,James Morrison,John Papsidera,Trevor Rabin,James Wong,Charles Newirth,James Wong,dual identity,,,1
Chappie,49000000,198184,120.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Columbia Pictures,Media Rights Capital,LStar Capital,9,72,3,4,Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo,Christa Schamberger,Hans Zimmer,Neill Blomkamp,Simon Kinberg,,artificial intelligence,android,robot,1
The Ring,48000000,565,115.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,BenderSpink,Parkes+MacDonald Image Nation,DreamWorks Pictures,5,86,10,18,Naomi Watts,Martin Henderson,David Dorfman,Brian Cox,Jane Alexander,Denise Chamian,Hans Zimmer,Gore Verbinski,Walter F. Parkes,Ehren Kruger,journalist,drowning,island,1
Panic Room,48000000,4547,111.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Columbia Pictures,Hofflund/Polone,Indelible Pictures,1,66,3,29,Jodie Foster,Kristen Stewart,Forest Whitaker,Dwight Yoakam,Jared Leto,Laray Mayfield,,David Fincher,David Koepp,,burglar,bunker,housebreaking,1
Taken 3,48000000,260346,109.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,EuropaCorp,M6 Films,Grive Productions,3,48,12,16,Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen,Dougray Scott,John Papsidera,Nathaniel Méchaly,Olivier Megaton,Luc Besson,,revenge,murder,on the run,1
Tooth Fairy,48000000,23023,101.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Dune Entertainment,Dune Entertainment III,Walden Media,5,51,1,14,Dwayne Johnson,Stephen Merchant,Ashley Judd,Julie Andrews,Ryan Sheckler,Heike Brandstatter,George S. Clinton,Michael Lembeck,Gordon Gray,Randi Mayem Singer,fairy,hockey player,tooth fairy,1
Rat Race,48000000,9896,112.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fireworks Pictures,Paramount,Alphaville Films,8,83,8,17,Cuba Gooding Jr.,Seth Green,Whoopi Goldberg,Breckin Meyer,Amy Smart,Candice Elzinga,John Powell,Jerry Zucker,Jerry Zucker,Andy Breckman,casino,running,preisgeld,1
3:10 to Yuma,48000000,5176,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lionsgate,Tree Line Films,Relativity Media,5,58,9,6,Russell Crowe,Christian Bale,Logan Lerman,Dallas Roberts,Peter Fonda,Lisa Beach,Marco Beltrami,James Mangold,Cathy Konrad,Michael Brandt,parent child relationship,saloon,hero,1
K-PAX,48000000,167,120.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Intermedia Films,Lawrence Gordon Productions,Pathé Pictures International,8,31,10,22,Jeff Bridges,Kevin Spacey,Mary McCormack,Alfre Woodard,Ajay Naidu,Debra Zane,Ed Shearmur,Iain Softley,Lawrence Gordon,Charles Leavitt,robbery,dream,hypnosis,1
Rambo,47500000,7555,92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Nu Image,Lionsgate,Emmett/Furla Films,6,68,1,24,Sylvester Stallone,Julie Benz,Matthew Marsden,Reynaldo Gallegos,Jake La Botz,Sheila Jaffe,Brian Tyler,Sylvester Stallone,Kevin King Templeton,Sylvester Stallone,missionary,river,boat,1
Earth,47000000,10946,90.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Disneynature,Gaumont,BBC,6,41,4,22,Patrick Stewart,Constantino Romero,James Earl Jones,Ken Watanabe,Ulrich Tukur,,George Fenton,Alastair Fothergill,Sophokles Tasioulis,Mark Linfield,ocean,himalaya,ice,1
Riding in Cars with Boys,47000000,11091,132.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Gracie Films,Columbia Pictures,,24,29,10,19,Drew Barrymore,Steve Zahn,Adam Garcia,Brittany Murphy,Logan Lerman,,Hans Zimmer,Penny Marshall,Julie Ansell,Morgan Ward,baby,becoming an adult,puberty,0
