title,Production_Budget,Domestic_Gross,Worldwide_Gross,id,poster_path,release_date,runtime,tagline,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,overview,tagline_wordcount,synopsis_wordcount,release_year,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3
The Martian,108000000,228433663,655271443,286217,/5aGhaIHYuQbqlHWvWYqMCnj40y2.jpg,2015-09-30,141.0,Bring Him Home,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Scott Free Productions,Mid Atlantic Films,International Traders,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",3,63,2015,9,30,Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael Peña,Nina Gold,Harry Gregson-Williams,Ridley Scott,Ridley Scott,Drew Goddard,must draw upon,astronaut mark watney,presumed dead
"I, Robot",105000000,144801023,348629585,2048,/2mkFzf168xJrV6Leqq0bjqOlJCK.jpg,2004-07-15,115.0,Laws are made to be broken.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,Davis Entertainment,Laurence Mark Productions,"In 2035, where robots are common-place and abide by the three laws of robotics, a techno-phobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",6,43,2004,7,15,Will Smith,Bridget Moynahan,Alan Tudyk,James Cromwell,Bruce Greenwood,Jeanne McCarthy,Marco Beltrami,Alex Proyas,John Davis,Akiva Goldsman,phobic cop investigates,three laws,robot may
The Princess and the Frog,105000000,104400899,270997378,10198,/bVRHirC6uIZL9VtRqYRxdedYnOG.jpg,2009-12-08,97.0,Every Love Story Begins With a Kiss...,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Walt Disney Pictures,Walt Disney Animation Studios,,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",7,38,2009,12,8,Anika Noni Rose,Bruno Campos,Keith David,Michael-Leon Wooley,Jennifer Cody,Jen Rudin,Randy Newman,Ron Clements,Peter Del Vecho,Ron Clements,frog prince back,restaurant owner,waitress
Ice Age: Collision Course,105000000,64063008,402156682,278154,/gRi7lTBBiRBhn9aJID5MdldcJEJ.jpg,2016-06-23,100.0,One small step. One giant mess.,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Blue Sky Studios,20th Century Fox Animation,20th Century Fox,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters.",6,82,2016,6,23,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Seann William Scott,,,Galen T. Chu,Lori Forte,,exotic new lands,elusive acorn catapults,colorful new characters
Town & Country,105000000,6712451,10364769,24113,/bStkaELv6L3Zvbg6TWT6GWS5h9X.jpg,2001-04-27,104.0,There's no such thing as a small affair.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,New Line Cinema,,,"Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps some with his wife Ellie, others with longtime friends Mona and her husband Griffin. Deciding which direction to take often leads to unexpected encounters with hilarious consequences.",8,50,2001,4,27,Warren Beatty,Diane Keaton,Goldie Hawn,Garry Shandling,Andie MacDowell,,Rolfe Kent,Peter Chelsom,Fred Roos,,known new york architect,take often leads,longtime friends mona
Kingsman: The Golden Circle,104000000,100234838,408803696,343668,/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,2017-09-20,141.0,Reports of my death have been greatly exaggerated.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TSG Entertainment,Shangri-La Entertainment,Marv Films,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",8,34,2017,9,20,Taron Egerton,Colin Firth,Julianne Moore,Mark Strong,Jeff Bridges,Reg Poerscout-Edgerton,,Matthew Vaughn,Matthew Vaughn,,kingsman headquarters takes place,new villain rises,american agency known
A Wrinkle in Time,103000000,100478608,133401882,27874,/mMES5XApmhBmc06RxsT1a0DmUHQ.jpg,2003-04-25,128.0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,BLT Productions,,,Based on a children's series by the same name. Meg and Charles Wallace are aided by Calvin and three interesting women in the search for their father who disappeared during a government experiment. Their travels take them around the universe to a place unlike any other.,1,46,2003,4,25,Katie Stuart,Gregory Smith,David Dorfman,Chris Potter,Kyle Secor,,,John Kent Harrison,,,three interesting women,travels take,place unlike
Public Enemies,102500000,97104620,212282709,11322,/qisfF7ENdmGI8fpQJoCxIIU1QhH.jpg,2009-07-01,140.0,America's Most Wanted.,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Universal Pictures,Relativity Media,Forward Pass,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",3,63,2009,7,1,Christian Bale,Johnny Depp,Giovanni Ribisi,Billy Crudup,Marion Cotillard,Avy Kaufman,Elliot Goldenthal,Michael Mann,Michael Mann,Michael Mann,era bank robber john dillinger,first public enemy number one,hoover makes dillinger
Minority Report,102000000,132024714,358824714,180,/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg,2002-06-20,145.0,The system is perfect until it comes after you.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Digital Image Associates,Cruise/Wagner Productions,Blue Tulip Productions,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",9,33,2002,6,20,Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow,Lois Smith,Denise Chamian,John Williams,Steven Spielberg,Jan de Bont,Scott Frank,another investigator targets,predict crimes,murder charge
Cloud Atlas,102000000,27108272,130673154,83542,/8VNiyIp67ZxhpNgdrwACW0jgvP2.jpg,2012-10-26,172.0,Everything is Connected,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Cloud Atlas Productions,Anarchos Productions,Ascension Pictures,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.",3,92,2012,10,26,Tom Hanks,Halle Berry,Jim Broadbent,Hugo Weaving,Jim Sturgess,Lucinda Syson,Johnny Klimek,Tom Tykwer,Tom Tykwer,Tom Tykwer,individual lives impact one another throughout,six nested stories spanning time,kindness ripples across centuries
Harry Potter and the Chamber of Secrets,100000000,262233381,879225135,672,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,2002-11-13,161.0,Hogwarts is back in session.,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1492 Pictures,Heyday Films,Warner Bros. Pictures,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",5,56,2002,11,13,Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris,Alan Rickman,Karen Lindsay-Stewart,John Williams,Chris Columbus,David Heyman,Steve Kloves,trees fight back,warn harry potter,wall announces
Planet of the Apes,100000000,180011740,362211740,869,/uHp6PTo7SCrqdH5wCSrCCf8EQFX.jpg,2001-07-25,119.0,You'll be sorry you were ever born human.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Tim Burton Productions,20th Century Fox,The Zanuck Company,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",8,44,2001,7,25,Mark Wahlberg,Tim Roth,Helena Bonham Carter,Michael Clarke Duncan,Kris Kristofferson,Denise Chamian,Danny Elfman,Tim Burton,Richard D. Zanuck,,brash astronaut leo davidson finds,invincible gorilla army led,leo must evade
National Treasure,100000000,173005002,331323410,2059,/luMoc56LLMWUt60vUNNpwxrbTNt.jpg,2004-11-19,131.0,The greatest adventure history has ever revealed.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Walt Disney Pictures,Jerry Bruckheimer Films,Saturn Films,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",7,63,2004,11,19,Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean,Jon Voight,Avy Kaufman,Trevor Rabin,Jon Turteltaub,Jerry Bruckheimer,Jim Kouf,whereabouts may lie,secret clues embedded,modern treasure hunters
Django Unchained,100000000,162805434,449841566,68718,/5WJnxuw41sddupf8cwOxYftuvJG.jpg,2012-12-25,165.0,the d is silent. Payback won't be.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,The Weinstein Company,Columbia Pictures,,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",7,23,2012,12,25,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson,Victoria Thomas,,Quentin Tarantino,Stacey Sher,,brutal mississippi plantation owner,german bounty hunter,freed slave sets
Little Fockers,100000000,148438600,310650574,39451,/qixmjH8fLD9IkboPO7FKxAqzwRJ.jpg,2010-12-21,98.0,"Kids bring everyone closer, right?",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Universal Pictures,Paramount,Relativity Media,"It has taken 10 years, two little Fockers with wife Pam and countless hurdles for Greg to finally get in with his tightly wound father-in-law, Jack. After the cash-strapped dad takes a job moonlighting for a drug company, Jack's suspicions about his favorite male nurse come roaring back. When Greg and Pam's entire clan descends for the twins' birthday party, Greg must prove to the skeptical Jack that he's fully capable as the man of the house.",5,77,2010,12,21,Robert De Niro,Ben Stiller,Owen Wilson,Dustin Hoffman,Barbra Streisand,,,Paul Weitz,Robert De Niro,,favorite male nurse come roaring back,two little fockers,tightly wound father
American Gangster,100000000,130164645,267985456,4982,/uDSP5H5akJ85xMGSHRtaqHGBRLD.jpg,2007-11-02,157.0,There are two sides to the American dream,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Film Rites,Imagine Entertainment,Universal Pictures,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Partly based on a true story.",8,63,2007,11,2,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,Lymari Nadal,Avy Kaufman,Marc Streitenfeld,Ridley Scott,Brian Grazer,Steven Zaillian,south east asia,number one importer,frank lucas establishes
Cloudy with a Chance of Meatballs,100000000,124870275,236827677,22794,/8GyuFxLh3PTaQDy3Vhk1gV3KU8Z.jpg,2009-09-17,90.0,Prepare to get served.,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Sony Pictures Animation,Columbia Pictures,Sony Pictures,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",4,54,2009,9,17,Bill Hader,Anna Faris,James Caan,Andy Samberg,Bruce Campbell,Mary Hidalgo,Mark Mothersbaugh,Phil Lord,Chris Juen,Phil Lord,falling food reaches gargantuan proportions,makes clouds rain food,inventor flint lockwood creates
The Other Guys,100000000,119219978,170936470,27581,/b4mYjC8kKx32BnCNBQeDCA76WBd.jpg,2010-08-06,107.0,When the cops are busy... Our only hope is...,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Columbia Pictures,Gary Sanchez Productions,Mosaic Media Group,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.",9,52,2010,8,6,Will Ferrell,Mark Wahlberg,Eva Mendes,Samuel L. Jackson,Dwayne Johnson,,,Adam McKay,Will Ferrell,Adam McKay,seemingly minor case turns,bound nypd detectives gamble,two cops get
Lemony Snicket's A Series of Unfortunate Events,100000000,118627117,212956024,11774,/dHQMAj9E2G2ewjN1aCOPubsZaj1.jpg,2004-12-16,108.0,Mishaps. Misadventures. Mayhem. Oh Joy.,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Paramount,Scott Rudin Productions,Nickelodeon Movies,"Three wealthy children's parents are killed in a fire. When they are sent to a distant relative, they find out that he is plotting to kill them and seize their fortune.  This movie is extremely alarming, an expression which here means ""a thrilling misadventure involving three ingenious orphans and a villainous actor named Count Olaf (Jim Carrey) who wants their enormous fortune.""  It includes a suspicious fire, delicious pasta, Jim Carrey, poorly behaved looches, Billy Connolly, an incredibly deadly viper, Meryl Streep, and the voice of an imposter named Jude Law.",5,93,2004,12,16,Emily Browning,Liam Aiken,Jim Carrey,Meryl Streep,Jude Law,Avy Kaufman,Thomas Newman,Brad Silberling,Walter F. Parkes,Robert Gordon,thrilling misadventure involving three ingenious orphans,villainous actor named count olaf,imposter named jude law
The Wolf of Wall Street,100000000,116900694,389870414,106646,/vK1o5rZGqxyovfIhZyMELhk03wO.jpg,2013-12-25,180.0,EARN. SPEND. PARTY.,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EMJAG Productions,Paramount,Red Granite Pictures,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",3,29,2013,12,25,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Kyle Chandler,Rob Reiner,Ellen Lewis,,Martin Scorsese,Martin Scorsese,Terence Winter,large securities fraud case involving corruption,new york stockbroker refuses,corporate banking world
Epic,100000000,107518682,262794441,116711,/dUeXOJCpfWmZd9KaPkq2122J1ji.jpg,2013-05-15,102.0,Discover a world beyond your imagination,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Blue Sky Studios,20th Century Fox Animation,20th Century Fox,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,6,41,2013,5,15,Colin Farrell,Josh Hutcherson,Amanda Seyfried,Christoph Waltz,Jason Sudeikis,Christian Kaplan,Danny Elfman,Chris Wedge,Lori Forte,James V. Hart,tag group characters,deep forest setting,world —
The Expendables 2,100000000,85028192,311979256,76163,/dJPnTe1qOcO7XqsJvESFph83m6m.jpg,2012-08-08,103.0,Back for War.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Nu Image,Millennium Films,,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",3,39,2012,8,8,Sylvester Stallone,Arnold Schwarzenegger,Jean-Claude Van Damme,Bruce Willis,Jet Li,Marianne Stanicheva,Brian Tyler,Simon West,Kevin King Templeton,Sylvester Stallone,unexpected threat,revenge puts,enemy territory
Where the Wild Things Are,100000000,77233467,99123656,16523,/2bdxzUBv6h6gFEcrTO4BUzkBIck.jpg,2009-10-16,101.0,There's one in all of us.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Legendary Entertainment,Village Roadshow Pictures,Playtone,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts -- Ira, Carol, Douglas, the Bull, Judith and Alexander -- crown him as their king, play rumpus, build forts and discover secret hideaways.",6,40,2009,10,16,Max Records,Catherine Keener,Lauren Ambrose,James Gandolfini,Catherine O'Hara,,,Spike Jonze,Tom Hanks,Spike Jonze,large talking beasts -- ira,max imagines running away,alexander -- crown
Eragon,100000000,75030163,249488115,2486,/5YOPiILsHw2Onsqyev9IYhSZ4Vy.jpg,2006-12-14,104.0,"As darkness falls, the last dragon will choose its rider.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Fox 2000 Pictures,Davis Entertainment,Dune Entertainment,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",10,39,2006,12,14,Ed Speleers,Jeremy Irons,Sienna Guillory,Robert Carlyle,John Malkovich,Priscilla John,Patrick Doyle,Stefen Fangmeier,John Davis,Peter Buchman,farm boy happens upon,predestined journey,one person
The Tourist,100000000,67631157,278731369,37710,/jfLFF0Qa9jAoTYQIKaSWmMWcKZd.jpg,2010-12-08,103.0,It all started when he met a woman,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Columbia Pictures,Spyglass Entertainment,Peninsula Films,"American tourist Frank meets mysterious British woman Elsie on the train to Venice. Romance seems to bud, but there's more to her than meets the eye. Remake of the 2005 French film ""Anthony Zimmer"", written and directed by Jérôme Salle.",8,40,2010,12,8,Johnny Depp,Angelina Jolie,Paul Bettany,Timothy Dalton,Steven Berkoff,Susie Figgis,James Newton Howard,Florian Henckel von Donnersmarck,Roger Birnbaum,Florian Henckel von Donnersmarck,american tourist frank meets mysterious british woman elsie,"anthony zimmer "", written",2005 french film
The Stepford Wives,100000000,59475623,96221971,9890,/zyRTua3RVN3eLaIoXkdiy4XfF4s.jpg,2004-06-10,93.0,The wives of Stepford have a secret.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,De Line Pictures,Paramount,DreamWorks Pictures,"What does it take to become a Stepford wife, a woman perfect beyond belief? Ask the Stepford husbands, who've created this high-tech, terrifying little town.",7,25,2004,6,10,Nicole Kidman,Matthew Broderick,Bette Midler,Glenn Close,Christopher Walken,Juliet Taylor,David Arnold,Frank Oz,Scott Rudin,,woman perfect beyond belief,terrifying little town,stepford wife
Surf's Up,100000000,58867694,145395745,9408,/2Car4vWVDenBIMhfCjBvAHzameI.jpg,2007-06-08,85.0,"In the coldest place on Earth, he's the hottest thing around.",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Columbia Pictures,Sony Pictures Animation,Sony Pictures,"Cody is a surfing penguin from Shiverpool who dreams of making it big and being like his idol Big Z. On his journey, he discovers his talents are not all he thinks they are, and he must learn to accept that their is more to surfing than fame and fortune.",11,50,2007,6,8,Shia LaBeouf,Jeff Bridges,Zooey Deschanel,Jon Heder,James Woods,Mary Hidalgo,Mychael Danna,Ash Brannon,Christopher Jenkins,Ash Brannon,idol big z,must learn,surfing penguin
Blood Diamond,100000000,57377916,171377916,1372,/wRamTzV6udKaMXrspxqOuo02zk0.jpg,2006-12-07,143.0,It will cost you everything.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Liberty Pictures,Virtual Studios,Spring Creek Productions,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",5,54,2006,12,7,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,Arnold Vosloo,Victoria Thomas,James Newton Howard,Edward Zwick,Edward Zwick,Charles Leavitt,explosive civil war overtaking 1999 sierra leone,brutal rebel forces ripping,two desperate missions
Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717,41216,/mgkRaVtdrOAZT2cFZi9Ihh9QpuL.jpg,2010-07-10,97.0,On his way to finding a legend...he will become one.,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Village Roadshow Pictures,Animal Logic,Warner Bros. Pictures,"Soren, a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's. The film is based on the first three books in the series.",10,64,2010,7,10,Emily Barclay,Abbie Cornish,Essie Davis,Joel Edgerton,Deborra-Lee Furness,Kristy Carlson,David Hirschfelder,Zack Snyder,Zareh Nalbandian,John Orloff,young barn owl,new friends escape,first three books
Land of the Lost,100000000,49438370,69548641,18162,/tcb3yslo5U1iuubH34Eawp7qofr.jpg,2009-06-05,102.0,Right place. Wrong time.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Universal Pictures,Relativity Media,Sid & Marty Krofft Pictures,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.",4,47,2009,6,5,Will Ferrell,Anna Friel,Danny McBride,Jorma Taccone,Matt Lauer,Avy Kaufman,Michael Giacchino,Brad Silberling,Jimmy Miller,,trio make friends,time vortex alongside,primate named chaka
Peter Pan,100000000,48417850,95255485,10601,/kN9nWy36vyCJyMTRjQPgolxEr8l.jpg,2003-12-25,113.0,All children grow up except one.,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Revolution Studios,Quinta Communications,Universal Pictures,"In stifling Edwardian London, Wendy Darling mesmerizes her brothers every night with bedtime tales of swordplay, swashbuckling and the fearsome Captain Hook. But the children become the heroes of an even greater story, when Peter Pan flies into their nursery one night and leads them over moonlit rooftops through a galaxy of stars and to the lush jungles of Neverland.",6,60,2003,12,25,Jeremy Sumpter,Jason Isaacs,Rachel Hurd-Wood,Lynn Redgrave,Richard Briers,Antoinette Boulat,James Newton Howard,P.J. Hogan,Lucy Fisher,Michael Goldenberg,wendy darling mesmerizes,stifling edwardian london,peter pan flies
Catwoman,100000000,40202379,82145379,314,/3E1XPZ2lZmL4lJV1KSUi1jaSx3w.jpg,2004-07-22,104.0,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Village Roadshow Pictures,DiNovi Pictures,Frantic Films,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat -- and she's eager to use her new skills ... as a vigilante. Before you can say ""cat and mouse,"" handsome gumshoe Tom Lone is on her tail.",1,55,2004,7,22,Halle Berry,Benjamin Bratt,Sharon Stone,Lambert Wilson,Frances Conroy,John Papsidera,Klaus Badelt,Pitof,Denise Di Novi,John Rogers,"mouse ,"" handsome gumshoe tom lone",mannered graphic artist patience phillips washes,new skills ...
The Expendables 3,100000000,39322544,209461378,138103,/xczFwJhcCb2rUMylXam0Ni7Yn5o.jpg,2014-08-04,127.0,New team. New attitude. New mission.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Davis-Films,Nu Image,Ex3 Productions,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",6,113,2014,8,4,Sylvester Stallone,Jason Statham,Harrison Ford,Arnold Schwarzenegger,Mel Gibson,Avi Lerner,Brian Tyler,Patrick Hughes,Kevin King Templeton,Sylvester Stallone,school style versus high,years ago co,ruthless arms trader
Treasure Planet,100000000,38120554,91800000,9016,/yfcoA7q9n852yVnYa0VcAchgA72.jpg,2002-11-26,95.0,Find your place in the universe.,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Walt Disney Animation Studios,Walt Disney Pictures,,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",6,43,2002,11,26,Joseph Gordon-Levitt,Brian Murray,David Hyde Pierce,Emma Thompson,Michael Wincott,Ruth Lambert,James Newton Howard,Ron Clements,Ron Clements,Ron Clements,space galleon cabin boy jim hawkins discovers,cyborg cook named john silver teaches,jim realizes silver
Green Zone,100000000,35497337,97523020,22972,/sz6YKjzbu6u0JKaqjx4qF0WGkpS.jpg,2010-03-11,115.0,Chief Warrant Officer Roy Miller is done following orders,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Universal Pictures,StudioCanal,Relativity Media,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",9,68,2010,3,11,Matt Damon,Greg Kinnear,Brendan Gleeson,Amy Ryan,Jason Isaacs,Amanda Mackey,John Powell,Paul Greengrass,Tim Bevan,Rajiv Chandrasekaran,chief warrant officer roy miller,stumble instead upon,mass destruction believed
Geostorm,100000000,33700160,220796009,274855,/nrsx0jEaBgXq4PWo7SooSnYJTv.jpg,2017-10-13,109.0,Some things were never meant to be controlled.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Twisted Media,Stereo D,Skydance Media,"After an unprecedented series of natural disasters threatened the planet, the world's leaders came together to create an intricate network of satellites to control the global climate and keep everyone safe. But now, something has gone wrong: the system built to protect Earth is attacking it, and it becomes a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone along with it.",8,71,2017,10,13,Gerard Butler,Alexandra Maria Lara,Jim Sturgess,Abbie Cornish,Ed Harris,Ronna Kress,Lorne Balfe,Dean Devlin,Dean Devlin,,worldwide geostorm wipes,natural disasters threatened,leaders came together
In the Heart of the Sea,100000000,25020758,89693309,205775,/zVmWh0Zfg4UhbvdGI8LQrn1lQZJ.jpg,2015-11-20,122.0,Based on the incredible true story that inspired Moby Dick,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Imagine Entertainment,Spring Creek Productions,Roth Films,"In the winter of 1820, the New England whaling ship Essex is assaulted by something no one could believe—a whale of mammoth size and will, and an almost human sense of vengeance.",10,32,2015,11,20,Chris Hemsworth,Benjamin Walker,Cillian Murphy,Brendan Gleeson,Ben Whishaw,Nina Gold,Roque Baños,Ron Howard,Will Ward,Charles Leavitt,new england whaling ship essex,one could believe —,almost human sense
