title,Production_Budget,Domestic_Gross,Worldwide_Gross,id,poster_path,release_date,runtime,tagline,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,overview,tagline_wordcount,synopsis_wordcount,release_year,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3
Gabriela,50000,2335352,2335352,291675,/7CXc1TBLlDaL4Xc9lwePPIMnj3a.jpg,2001-02-14,93.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,"Mike is romantic, persistent, and a social worker at a psychiatric clinic. He falls for a new intern, Gabriela, who is passionate and engaged.",1,24,2001,2,14,Seidy López,Zach Galligan,Troy Winbush,Jaime Gomez,,,,Vincent Jay Miller,,,social worker,psychiatric clinic,new intern
Tiny Furniture,50000,391674,424149,47607,/dqYzkFSkZQxGuUoW1U1ZvykQsgW.jpg,2010-11-12,99.0,"Aura would like you to know that she is having a very, very hard time.",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Tiny Ponies,,,"After graduating from film school, Aura returns to New York to live with her photographer mother, Siri, and her sister, Nadine, who has just finished high school. Aura is directionless and wonders where to go next in her career and her life. She takes a job in a restaurant and tries unsuccessfully to develop relationships with men, including Keith, a chef where she works, and cult Internet star Jed.",15,69,2010,11,12,Lena Dunham,Laurie Simmons,Grace Dunham,Rachel Howe,Merritt Wever,,,Lena Dunham,Kyle Martin,,cult internet star jed,finished high school,film school
Counting,50000,8374,8374,640649,/9ILxBeh54E9OIw6Gq2BrienHwtA.jpg,2016-11-13,10.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"In 1951 Violet and Milly make a love promise over a penny. In 2015, the promise comes due, and Violet must face a heartbreaking reality.",1,25,2016,11,13,,,,,,,,Dan Pal,,,violet must face,promise comes due,love promise
Down and Dangerous,50000,0,0,164286,/qew4n4oonAQ5OVgMokXORKPAbxZ.jpg,2014-02-14,95.0,A smuggler bleeds like anyone else. He just gets more chances to prove it.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,The Sabi Company,,,"An inventive and resourceful cocaine smuggler defends his trade against violent rival traffickers, a monstrous and vengeful killer, and the DEA agents who want to lock him up – all while falling for a stunningly beautiful woman with a taste for danger.",14,42,2014,2,14,John T. Woods,Paulie Redding,Ross Marquand,Judd Nelson,Ernest Curcio,,,Zak Forsman,Kevin K. Shah,,resourceful cocaine smuggler defends,violent rival traffickers,stunningly beautiful woman
The Call of Cthulhu,50000,0,0,20981,/odR6C8c7OqoD2ZF74wwjygHwACG.jpg,2005-01-01,47.0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,HPLHS,,,"A dying professor leaves his great-nephew a collection of documents pertaining to the Cthulhu Cult. The nephew begins to learn why the study of the cult so fascinated his grandfather. Bit-by-bit he begins piecing together the dread implications of his grandfather's inquiries, and soon he takes on investigating the Cthulhu cult as a crusade of his own.",1,57,2005,1,1,Matt Foyer,John Bolen,Ralph Lucas,Chad Fifer,Susan Zucker,,,Andrew Leman,,Sean Branney,dying professor leaves,begins piecing together,nephew begins
Bending Steel,50000,0,0,174362,/3MmqKS6PGjf4NaRMnUu3aaQuOw5.jpg,2013-04-20,93.0,The Limiting Factor Is The Mind,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"The Cyclone, The Freakshow, The Mermaid Parade: all Coney Island icons. But Chris “Wonder” Schoeck has always preferred the Coney Island Strongman. Bending Steel follows the sweet, unassuming Schoeck as he parlays his extraordinary strength into the pursuit of his lifelong dream. Training with an elite group of men whose hands bend, drag, twist and shred metal, he tackles an enormous physical and mental challenge, taking a surprisingly emotional journey as a result.",6,73,2013,4,20,,,,,,,,Dave Carroll,,,chris “ wonder ” schoeck,men whose hands bend,surprisingly emotional journey
"Run, Hide, Die",50000,0,0,290391,/611YyIKowSYU9XkgiZQIog7jgRd.jpg,2015-09-01,75.0,"Five girls, one secret. Revenge stalks them in the night.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Abundant Productions,Faith vs. Fate Productions,Little Big Film Company,"On the anniversary weekend of the death of a young women's husband, five girls head out to a cabin to help their friend move past her husband's death. As the party continues a dark secret begins to unravel and a hideous past crawls out to seek revenge.",10,47,2015,9,1,Alison Monda,Alicia Mendez,Ivey Bronwen,Tabitha Bastien,Keiko Green,Alison Monda,,Collin Joseph Neal,,,hideous past crawls,friend move past,five girls head
The Image Revolution,50000,0,0,250902,/cM54OfO87jStyYCX98OtY0gpP1b.jpg,2013-11-21,81.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Respect Films,Sequart,,"Twenty years ago, seven superstar artists left Marvel Comics to create their own company, Image Comics, a company that continues to influence mainstream comics and pop culture to this day. Image began as more than just a publisher - it was a response to years of creator mistreatment, and changed comics forever. The Image Revolution tells the story of Image Comics, from its founders' work at Marvel, through Image's early success, company difficulties during the comics market implosion, and ultimately the publisher's new generation of properties like The Walking Dead. Filled with colorful characters, the film is a clarion call to artists to take control of their destiny.",1,108,2013,11,21,Todd McFarlane,Rob Liefeld,Jim Lee,Marc Silvestri,Erik Larsen,,,Patrick Meaney,Jonathan McHugh,,seven superstar artists left marvel comics,influence mainstream comics,comics market implosion
This Is Martin Bonner,42000,0,0,158895,/2ZVqDFtcdKE7iRMET5zSD7SS7R6.jpg,2013-06-28,83.0,Sometimes You Have to Lose Your Life in Order to Find It,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,600 West Productions,Stay Glorious,,"Two men, at opposite ends of the social spectrum, find themselves starting new lives in the same, small town and form an unlikely friendship.",12,24,2013,6,28,Paul Eenhoorn,Richmond Arquette,Sam Buchanan,Robert Longstreet,Kristin Slaysman,,Keegan DeWitt,Chad Hartigan,Cherie Saulter,,starting new lives,unlikely friendship,two men
The Exploding Girl,40000,25572,25572,44770,/k5HAZylGy1clOn4OKKDkH6Pttbj.jpg,2010-03-12,80.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,"On a summer break from college, Ivy, a young epileptic woman, struggles to balance her feelings for her fledgling boyfriend while her friend Al crashes with her for the season.",1,30,2010,3,12,Zoe Kazan,Mark Rendall,Maryann Urbano,Hunter Canning,Franklin Pipp,Susan Shopmaker,,Bradley Rust Gray,Bradley Rust Gray,,young epileptic woman,friend al crashes,summer break
